,Label,Label,OBO Ontology ID,Markers
1,ASDC,AXL+ Dendritic Cell,[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0001056),"AXL,SCT,LILRA4,PPP1R14A,SCN9A,TGFBI,UPK3A,PROC,CLEC10A,CLEC4C"
2,BaEoMa,Basophil Eosinophil Mast Progenitor,[basophil mast progenitor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002028),"HDC,MS4A2,TPSAB1,TPSB2,CLC,CPA3,LINC01835,MS4A3,PRG2,HPGDS"
3,CD14 Mono,CD14 Monocyte,[CD14-positive monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0001054),"RBP7,CDA,FPR1,C5AR1,TREM1,LILRA5,CD14,SLC7A7,MAFB,S100A12"
4,CD16 Mono,CD16 Monocyte,"[CD14-low, CD16-positive monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002396)","LYPD2,VMO1,TPPP3,C1QA,CD300E,C5AR1,APOBEC3A,GPBAR1,HES4,CDKN1C"
5,CD4 Effector,CD4 Effector,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"IL7R,KLRB1,RORA,LTB,CD2,TRAC,CD3G,CD3D,CD3E,IL32"
6,CD4 Memory,CD4 Memory,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"MAL,IL7R,LTB,PIK3IP1,CD3G,CD2,TRAC,JUNB,LEPROTL1,CD3D"
7,CD4 Naive,CD4 Naive,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"CCR7,BCL11B,PIK3IP1,IL7R,LEPROTL1,CD3E,LTB,TRAC,CD3D,TRBC2"
8,CD8 Effector 1,CD8 Effector 1,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"GZMK,CD8A,CCL4L2,DUSP2,CD8B,XCL2,TRGC2,CCL4,CCL5,CMC1"
9,CD8 Effector 2,CD8 Effector 2,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"GZMH,FGFBP2,TRGC2,CD8A,KLRG1,PRF1,CCL5,CD8B,GZMB,GNLY"
10,CD8 Effector 3,CD8 Effector 3,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"GZMK,CCL5,CD8A,DUSP2,KLRB1,CCL4,CMC1,GZMM,GZMA,KLRD1"
11,CD8 Memory,CD8 Memory,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"CD8B,CD8A,GZMK,IL7R,DUSP2,LYAR,CCL5,CD3E,TRAC,CD3D"
12,CD8 Naive,CD8 Naive,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"CD8B,S100B,CCR7,PIK3IP1,CD8A,LINC02446,MGAT4A,CD3E,CD7,LEPROTL1"
13,cDC1,Conventional Dendritic Cell 1,[CD141-positive myeloid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002394),"IDO1,XCR1,TACSTD2,CLEC9A,DNASE1L3,CLNK,WFDC21P,CADM1,BATF3,LGALS2"
14,cDC2,Conventional Dendritic Cell 2,[CD1c-positive myeloid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_CL_0002399),"CD1E,ENHO,CACNA2D3,CLEC10A,PKIB,CD1C,CD1D,MTMR11,IL13RA1,PLBD1"
15,CLP,Common Lymphoid Progenitor,[common lymphoid progenitor](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000051),"ACY3,PRSS2,NEGR1,C1QTNF4,SPINK2,KCNE5,SMIM24,NREP,CD34,DNTT"
16,Early Eryth,Early Erythroid,[erythroid lineage cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000764),"PCAT18,NECAB1,CXADR,ZNF385D,AKR1C1,CNRIP1,MYCT1,CPA3,HPGDS,EMID1"
17,EMP,Erythromyeloid Progenitor,[megakaryocyte-erythroid progenitor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000050),"MYCT1,CRHBP,ZNF385D,AVP,NPR3,GATA2,HPGDS,HTR1F,CYTL1,CRYGD"
18,GMP,Granulocyte Monocyte Progenitor,[granulocyte monocyte progenitor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000557),"SERPINB10,RNASE3,MS4A3,PRTN3,CPA3,ELANE,AZU1,CTSG,RNASE2,RETN"
19,HSC,Hematopoeitic Stem Cell,[hematopoeitic stem cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000037),"MEG3,CRHBP,AVP,MYCT1,BEX1,RBPMS,NPR3,CRYGD,MSRB3,CD34"
20,ILC,Innate Lymphoid Cell,[mature natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000824),"CD160,XCL2,CMC1,XCL1,CD7,KLRB1,KLRF1,KLRD1,KLRC1,TRDC"
21,Late Eryth,Late Erythroid,[erythroid lineage cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000764),"KRT13,SLC25A21,TRIM10,PKLR,CTSE,RAB3IL1,AQP1,A4GALT,TSPO2,CA3"
22,LMPP,Lymphoid Primed Multipotent Progenitor,[hematopoeitic multipotent progenitor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000837),"CLDN10,PROM1,CPA3,AVP,CRHBP,CRYGD,C1QTNF4,BEX1,CD34,NPR3"
23,Macrophage,Macrophage,[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235),"FABP3,CD5L,CCL18,C1QC,C1QB,FABP4,C1QA,APOE,SELENOP,HMOX1"
24,MAIT,Mucosal associated invariant T,[mucosal invariant T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000940),"KLRB1,IL7R,RORA,SPOCK2,GZMK,TNFAIP3,IL32,DUSP2,CD3E,CD2"
25,Memory B,Memory B,[memory B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000787),"ARHGAP24,FCER2,LINC00926,BLK,MS4A1,TNFRSF13C,LINC01781,BANK1,RALGPS2,MARCH1"
26,Naive B,Naive B,[naïve B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000788),"FCER2,ARHGAP24,LINC00926,TNFRSF13C,MS4A1,CD22,TCL1A,RALGPS2,IGHD,BANK1"
27,NK,Natural Killer,[mature natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000824),"S1PR5,KLRC1,FGFBP2,FCGR3A,SPON2,PRF1,KLRF1,IL2RB,GZMB,KLRD1"
28,NK CD56+,Natural Killer CD56+,"[CD16-negative, CD56-bright natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000938)","KLRC1,XCL1,XCL2,IL2RB,KLRF1,KLRD1,GNLY,KLRC2,CD7,CMC1"
29,NK Proliferating,Proliferating Natural Killer,[mature natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000824),"GZMA,NKG7,GZMB,TRDC,PRF1,CST7,GNLY,KLRF1,CTSW,FGFBP2"
30,pDC,Plasmacytoid Dendritic Cell,[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0001058),"CLEC4C,PROC,PTCRA,SCT,SHD,LILRA4,LAMP5,LINC00996,LRRC26,SMPD3"
31,Plasma,Plasma,[plasma cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000786),"SDC1,IGLV5-45,DNAAF1,IGLC6,IGHV1-24,IGLV6-57,TNFRSF17,IGLV3-1,TNFRSF13B,IGLC7"
32,Platelet,Platelet,[platelet](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000233),"LY6G6F,TMEM40,CLEC1B,ENKUR,NAT8B,CLDN5,CXCR2P1,HGD,HRAT92,AQP10"
33,pre B,Precursor B,[precursor B cell](http://www.ontobee.org/search?ontology=CL&keywords=CL%3A0000817&submit=Search+terms),"NPY,LCN6,LINC01013,HMHB1,ARPP21,AKAP12,CYGB,MME,EBF1,PAX5"
34,pre-mDC,Precursor Myeloid Dendritic Dell,[common dendritic progenitor](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0001029),"CTSV,ENHO,CACNA2D3,IL1RN,CLEC10A,AXL,MTMR11,CD1C,UPK3A,ZNF503"
35,pre-pDC,Precursor Plasmacytoid Dendritic Cell,[immature CD11c-negative plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000992),"SCT,SHD,PROC,LILRB4,LILRA4,PTPRS,TNNI2,PLD4,SPIB,PLAC8"
36,pro B,Progenitor B,[pro-B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000826),"CYGB,LCN6,UMODL1,SLC8A1-AS1,EBF1,MME,VPREB1,DNTT,BLNK,ZCCHC7"
37,Prog Mk,Progenitor Megakaryocyte,[megakaryocyte progenitor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000553),"GJA4,VWF,CLEC1B,ITGB3,ALOX12,LY6G6F,SPX,ITPKA,WFDC1,PROS1"
38,Stromal,Stromal,[stromal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000499),"IGFBP5,TF,CP,DCN,LUM,COL1A2,TNC,SPARCL1,CRH,BMP5"
39,T proliferating,Proliferating T,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000084),"PFN1,LCK,CALM1,IL32,IL2RG,TRAC,CD3D,PSMB9,RRM2,CD3G"
40,transitional B,Transitional B,[transitional stage B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000818),"CFAP73,ARPP21,IGLC5,HRK,MME,PAX5,CD19,TCL1A,FCRLA,CD24"
