"","Label","Markers"
"1","Adipocyte","GPAM, ACACB, GHR, PDE3B, FASN, PRKAR2B, MGST1, PLIN1, LINC00598, SLC19A3"
"2","Arterial Endothelial","LINC00639, ARL15, MECOM, IGFBP3, PCSK5, TM4SF1, EFNB2, DLL4, HEY1, GJA5"
"3","Atrial Cardiomyocyte","MYL7, FGF12, MYH6, ANKRD1, RYR2, ERBB4, TTN, CMYA5, NPPA, MYL7"
"4","B","IGKC, IGHM, IGHA1, AFF3, BANK1, IFNG-AS1, GNG7, MZB1, RALGPS2, MS4A1"
"5","Capillary Endothelial","BTNL9, FABP5, IFI27, RGCC, F8, MGLL, CA4, ADGRF5, ABLIM3, FLT1"
"6","Endocardial","PCDH15, EGFL7, NRG3, LEPR, NRG1, POSTN, PCDH7, TMEM132C, CDH11, TMEM108"
"7","Endothelial","MYRIP, POSTN, NRG3, LDB2, SLCO2A1, ANO2, VWF, FAM155A, IL1R1, KCNIP4"
"8","Fibroblast","DCN, APOD, ACSM3, CFD, ABCA9, NEGR1, LAMA2, ABCA6, ABCA8, KAZN"
"9","ILC","KIT, IL18R1, RD3, CPA3, SLC38A11, SLC8A3, TPSAB1, HDC, MS4A2, OR8A1"
"10","Lymphatic Endothelial","CCL21, MMRN1, RELN, PKHD1L1, SEMA3A, PPFIBP1, TFPI, SNTG2, EFNA5, PROX1"
"11","Macrophage","F13A1, RBPJ, MRC1, CD163, COLEC12, RBM47, FMN1, MS4A6A, STAB1, FRMD4B"
"12","Mast","SLC24A3, IL18R1, CPA3, NTM, KIT, SLC8A3, SLC38A11, CDK15, HPGDS, RAB27B"
"13","Mesothelial","ITLN1, PDZRN4, SLC39A8, PRG4, GFPT2, C3, KCNT2, WWC1, HAS1, RBFOX1"
"14","Monocyte/cDC","S100A8, S100A9, CD163, MSR1, SLC11A1, FMN1, RBM47, ITGAX, ADAM28, FLT3, CD74"
"15","Neuronal","NRXN1, NRXN3, CADM2, XKR4, CDH19, ADGRB3, CHL1, NCAM2, KIRREL3, SORCS1"
"16","NK","GNLY, NKG7, CD247, TXK, KLRD1, CCL4, CCL5, AOAH, PRF1, PARP8"
"17","Pericyte","RGS5, ABCC9, GUCY1A2, EGFLAM, DLC1, FRMD3, PDGFRB, AGT, PLA2G5, EPS8"
"18","Smooth Muscle","MYH11, ITGA8, ACTA2, CARMN, KCNAB1, TAGLN, ZFHX3, PRKG1, NTRK3, RCAN2"
"19","T","IL7R, THEMIS, ITK, PARP8, CAMK4, SKAP1, TC2N, BCL11B, PTPRC, PRKCQ"
"20","Venous Endothelial","TPO, ACKR1, TSHZ2, RAMP3, FAM155A, ABCB1, CALCRL, CYYR1, IGFBP5, EPHB4, NPP2"
"21","Ventricular Cardiomycoyte","FHL2, RYR2, MLIP, TTN, CTNNA3, RBM20, FGF12, SLC8A1, MYOM1, MYH7, MYL2"
