"","Label","Markers"
"1","Alveolar macrophages","RP3-333A15.1, CRH, CELA2B, RP11-77A13.1, SPATC1, TIMD4, BIRC7, SIGLEC12, WFIKKN2, C8B"
"2","NK cells","KIR2DL4, TMIGD2, SAMD3, PRF1, XCL1, CD160, TXK, TRDC, TBX21, IL2RB"
"3","AT2","HAND1, RP11-309N24.1, ORM2, CLDN2, APOH, WFDC12, FGL1, AGTR2, FGA, LANCL1-AS1"
"4","Alveolar Mφ CCL3+","IL27, IRG1, PVALB, SIGLEC7, FCGR1B, PTPRO, KB-1507C5.4, SIRPB1, PTCRA, RP11-598F7.3"
"5","Suprabasal","KRT75, KRTAP4-6, C10orf99, NTF4, SPRR1A, CCAT1, KRT6C, KLK8, IL36G, KRT16"
"6","Basal resting","PRAC1, NTF4, LGR6, NSG1, WNT10A, PHYHD1, DKK4, TMEM237, TPRG1, EPHB6"
"7","EC venous pulmonary","CADM3-AS1, OTC, ABCC8, LHX6, RAMP3, ACKR1, SELP, VWF, LIFR, RP11-251M1.1"
"8","CD8 T cells","TRAV4, TRAV8-2, TRAV8-6, TRDV2, CXCL13, KLRC1, IFNG, AC092580.4, AC002331.1, GZMM"
"9","EC arterial","AC004947.2, AC004540.4, SSTR1, DKK2, FAM124B, SEMA3G, GJA5, FAM69B, GPR4, AP001627.1"
"10","Peribronchial fibroblasts","COL11A1, COL10A1, THBS2, ITGBL1, TNN, TMEM119, COL5A3, FAP, EPHA3, COL5A2"
"11","CD4 T cells","TRAV25, IL17A, IL17F, TRAV27, TRAV13-1, TRBV3-1, FOXP3, TRAV8-2, TNFSF8, TRAV8-1"
"12","AT1","ALPP, ITLN2, ALPPL2, GGTLC1, C1orf167, COL4A3, CLDN18, ABCA7, GGT1, NCKAP5"
"13","Multiciliated (non-nasal)","RP11-428C19.4, CWH43, RP11-445L6.3, TMCO5A, CNTN5, MROH9, RP11-424M24.5, SERPINA6, C6orf229, RSPH10B2"
"14","Plasma cells","IGLV5-48, RP11-768B22.2, IGLC5, IGLC6, IGKV1D-16, IGLV10-54, IGHV1-24, IGKV2-29, IGLV2-5, IGKV3D-11"
"15","Goblet (nasal)","RP11-297P16.4, TMPRSS11B, RPTN, CRNN, KLK6, PSORS1C2, HOXB1, C6orf15, FETUB, KRT78"
"16","Club (nasal)","TMPRSS11A, NOS2, ASPG, HMGCS2, OTX1, CYP2C18, ALDH3B2, TMPRSS4, LGI1, DMRTA2"
"17","SM activated stress response","ITIH3, CASQ2, IL17B, MYOCD, FHL5, JPH2, ADCY5, NPAS4, MYOZ1, HRC"
"18","Classical monocytes","ASGR2, LILRA1, FFAR3, GPR42, CTB-61M7.2, PROK2, RNASE2, S100A12, FCN1, CD1D"
"19","Monocyte derived Mφ","MMP8, AC092484.1, ADAMDEC1, RP11-400N13.3, COL22A1, AQP9, CCL7, DCSTAMP, RP11-77A13.1, CHIT1"
"20","Alveolar Mφ proliferating","PKD2L1, PVALB, CKAP2L, SPC25, CENPA, RP5-899E9.1, GPA33, NUP214, STAC, TIMD4"
"21","Club (non-nasal)","CYP2A13, CYP2F1, C4BPB, RP11-355F16.1, PAEP, TSPAN8, KLK14, CAPN8, KLK11, FAM181A"
"22","SMG serous (bronchial)","SOX10, CCDC129, AC005152.3, AC078941.1, EDN3, LPO, PRH2, GJB1, TTYH1, RP11-161M6.2"
"23","EC venous systemic","CRHBP, RP11-536O18.1, MEOX1, SELE, SELP, PLVAP, ADGRL4, ZNF385D, PLCXD3, CPXM2"
"24","Non classical monocytes","GPR42, RP11-362F19.1, FFAR3, LILRA1, MS4A6E, GPBAR1, CSF1R, FCER2, LILRA2, LILRB2"
"25","EC general capillary","CD300LG, ESM1, BTNL9, FENDRR, CDH5, PCDH12, NOTCH4, SLCO2A1, BMP6, ESAM"
"26","Adventitial fibroblasts","KERA, RP11-977P2.1, C9orf92, MYOC, FAP, FAM180B, VIT, CD248, ANGPTL7, ADAM33"
"27","Lymphatic ECmature","HOXD9, GPR182, GDF3, KLHL4, RELN, HOXD8, RP11-322E11.5, FLT4, MSMP, CXorf36"
"28","EC aerocyte capillary","CA4, IL1RL1, FENDRR, SOSTDC1, TBX3, PCDH12, F2RL3, TMEM204, EMCN, ROBO4"
"29","Smooth muscle","CASQ2, KCNA5, ITIH3, RERGL, PI15, MYOCD, AC018647.3, PLN, CMTM5, JPH2"
"30","Alveolar fibroblasts","RP11-125O18.1, RSPO1, CCL11, ADAMTS9-AS1, BMP5, HSPB3, ROBO2, GDF10, RSPO4, EPHA3"
"31","Multiciliated (nasal)","ANKFN1, LRRC56, CCDC96, SNTN, ABHD11-AS1, TPRXL, UBXN11, CCDC190, PACRG, FAM95C"
"32","Goblet (bronchial)","CYP2F1, CAPN13, SLC5A8, SLC5A1, FOXA3, STRA6, MUC5B, NR2F6, KLK11, CLDN22"
"33","Neuroendocrine","SCGB1D1, GRIA2, FEZF2, SOX1, CDK5R2, SLC35D3, CPLX2, NRSN1, OR51E1, SLC6A5"
"34","Lymphatic EC differentiating","NFIA-AS2, KLHL4, STAB2, GPR182, RELN, SCN3B, SEMA3D, LRCOL1, MMRN1, PTPN14"
"35","DC2","IL22RA2, CDH17, CD207, CD1B, ELAVL4, IGLON5, CD1A, CLEC4F, RP11-404O13.5, CD1E"
"36","Transitional Club AT2","AC008268.1, MS4A15, ITIH2, SLC22A3, SFTA1P, CFHR1, SPRR2G, NKX2-1, ERP27, HSD17B6"
"37","DC1","XCR1, CLEC9A, RP11-761N21.1, WDFY4, C1orf54, CPVL, LGALS2, MPEG1, ZNF366, HLA-DOB"
"38","Myofibroblasts","TYRP1, ROBO2, DIO3, HSPB7, PRIMA1, C1QTNF7, GREM2, MRVI1, PAMR1, CCBE1"
"39","B cells","FCRL4, FCRL5, FCRLA, BLK, TNFRSF13C, VPREB3, AC079767.4, OSTN-AS1, GPR18, CXCR5"
"40","Mast cells","SIGLEC6, TPSD1, ADCYAP1, CTSG, TRIM63, RP11-354E11.2, HDC, KRT1, SLC18A2, AC020571.3"
"41","Interstitial Mφ perivascular","LILRB5, F13A1, IGSF21, P2RY12, CLEC4G, CD300LB, FOLR2, ADORA3, MERTK, GAL3ST4"
"42","SMG mucous","BPIFB2, CST4, FAM177B, TFF2, CGREF1, HMGCS2, SEMA3E, DYRK4, NKX3-1, FBXW4"
"43","AT2 proliferating","AC079630.2, SFRP5, IRX6, CHIA, RP11-462G2.1, DIAPH3, LRP2, JPH1, P3H2, HPN"
"44","Goblet (subsegmental)","RFNG, SELO, GPATCH3, TMEM8A"
"45","Pericytes","RP11-616M22.12, COX4I2, PDGFRB, HIGD1B, LAMC3, FOXS1, TBX5, GUCY1A2, CARMN, AGTR1"
"46","SMG duct","RP11-817J15.2, CSN3, RP11-817J15.3, FABP7, MUC7, TCN1, CLDN8, LRRC26, CCL28, AZGP1"
"47","Mesothelium","TRDN, PCK1, SERTM1, CRB2, LRRN4, WT1-AS, SPRR2B, CPB1, TMEM151A, GALNT9"
"48","SMG serous (nasal)","CSN3, CRISP3, ODAM, SMR3A, C5orf46, SOX10, NRG3, PIGR"
"49","Ionocyte","OLFM3, CDH22, CLDN25, ATP6V1G3, GPRC6A, BSND, ASCL3, ASCL4, FOXI2, FOXI1"
"50","Alveolar Mφ MT-positive","CCR1, PAX8, RP3-460G2.2, PI4K2A"
"51","Fibromyocytes","MYOCD, DES, CCDC3, MRGPRF, GREM2, PNCK, NEXN, HACD1, CRYAB, CALD1"
"52","Deuterosomal","RP11-713P17.5, FOXN4, MCIDAS, DYDC1, RP11-607P23.1, TMEM200C, CCDC67, PRR32, CLEC2A, CFAP47"
"53","Tuft","GNG13, GNAT3, GUCA1A, OVOL3, SPIC, DAB1, KIT, RASSF6, LRMP, MUC20"
"54","Plasmacytoid DCs","SHD, CLEC4C, SCT, TCL1A, LILRA4, LAMP5, AC104024.1, FAM129C, PTCRA, RP11-117D22.2"
"55","T cells proliferating","CD3G, FOXP3, LCK, CD3E, CD3D, TRBC1, TRBC2, CD28, TRAC, ITK"
"56","Subpleural fibroblasts","WT1, NGF, CADM3, MUM1L1, HPD, ROR1, FNDC4, GHR, ASIP, PAMR1"
"57","Lymphatic EC proliferating","HOXD8, KLHL4, GPR182, KBTBD11, AC074289.1, TBX1, PARD6G, THSD1, PGM5, RAD51"
"58","Migratory DCs","AOC1, TIFAB, CCL22, TVP23A, CST7, TRAF1, CSF2RA, SLCO5A1, AC079767.4, FSCN1"
