"","Label","Markers"
"1","Alveolar macrophages","CELA2B, RP3-333A15.1, CTD-3080P12.3, CRH, RP11-77A13.1, FGF10-AS1, SPATC1, BIRC7, CLC, WFIKKN2"
"2","NK cells","KIR2DL4, PRF1, SAMD3, TMIGD2, TXK, KLRF1, TRDC, XCL1, CD160, IL2RB"
"4","Suprabasal","KRT75, KRTAP4-6, NTF4, C10orf99, SPRR1A, CCAT1, KRT16, IL36G, FOXE1, GJB3"
"5","Basal resting","NTF4, PRAC1, LGR6, NSG1, PHYHD1, TMEM237, WNT10A, DKK4, IGSF3, WNT7B"
"6","EC venous pulmonary","CADM3-AS1, OTC, ABCC8, RAMP3, ACKR1, CDH5, VWF, SELP, LHX6, LIFR"
"7","CD8 T cells","TRAV4, TRAV8-2, TRAV8-6, TRDV2, KLRC1, CXCL13, IFNG, AC092580.4, GZMM, ITK"
"8","Peribronchial fibroblasts","THBS2, ITGBL1, COL11A1, COL10A1, TMEM119, COL5A2, SGCD, EMILIN1, COL5A3, FAP"
"9","CD4 T cells","TRAV25, IL17A, IL17F, TRAV13-1, TNFSF8, FOXP3, TRBV3-1, TRAV8-2, TRAT1, CD40LG"
"10","Multiciliated","RP11-428C19.4, CWH43, RP11-445L6.3, TMCO5A, CNTN5, RP11-424M24.5, RP5-978I12.1, SAA2-SAA4, KCNE1B, CTD-2544H17.1"
"11","Plasma cells","IGLV5-48, RP11-768B22.2, IGLC5, IGLC6, IGLV10-54, IGKV1D-16, IGHV1-24, SPACA3, IGKV3D-11, IGLV5-45"
"12","Goblet","RP11-297P16.4, TMPRSS11B, KLK6, MUC22, C6orf15, CRNN, RPTN, HOXB1, PSORS1C2, GMNC"
"13","Club","CLDN22, TFAP2B, CYP2A13, ALDH3B2, RP11-355F16.1, CYP2F1, C4BPB, RP11-434I12.3, KLK14, TMEM92"
"14","Classical monocytes","ASGR2, LILRA1, CTB-61M7.2, RNASE2, S100A12, FCN1, FFAR3, PROK2, GPR42, CD300E"
"15","Interstitial macrophages","MMP8, AC092484.1, ADAMDEC1, AQP9, DCSTAMP, FOLR2, CLEC4G, RP11-77A13.1, CCL7, LILRB5"
"16","SMG serous","CSN3, PRB1, SOX10, PRB2, SMR3A, C5orf46, CTD-2015G9.2, C6orf58, PRH2, AC078941.1"
"17","EC venous systemic","CRHBP, RP11-536O18.1, SELE, MEOX1, PDE2A, SELP, ADGRL4, PLVAP, ZNF385D, ARHGEF15"
"18","Non classical monocytes","GPR42, RP11-362F19.1, LILRA1, GPBAR1, MS4A6E, LILRA2, LRRC25, LILRB1, LILRB2, RGS18"
"19","EC general capillary","CD300LG, BTNL9, ESM1, CDH5, PCDH12, TEK, NOTCH4, SLCO2A1, ESAM, ACVRL1"
"20","Adventitial fibroblasts","KERA, RP11-977P2.1, C9orf92, MYOC, FAP, FAM180B, CD248, ADAM33, VIT, SFRP2"
"21","EC aerocyte capillary","CA4, IL1RL1, FENDRR, PCDH12, TBX3, SLCO4A1, F2RL3, SOSTDC1, TMEM204, EMCN"
"22","Alveolar fibroblasts","RSPO1, CCL11, RP11-125O18.1, ADAMTS9-AS1, HSPB3, BMP5, ROBO2, GDF10, EPHA3, HSPB2"
"23","Neuroendocrine","GRIA2, SCGB1D1, CDK5R2, SLC35D3, FEZF2, SOX1, CPLX2, OR51E1, NRSN1, SLC6A5"
"24","DC2","CDH17, IL22RA2, CD207, CD1B, ELAVL4, IGLON5, CD1A, CLEC4F, CD1E, RP11-404O13.5"
"25","Transitional Club AT2","ALPPL2, AC008268.1, XAGE2, MS4A15, SFTA1P, SLC22A3, NKX2-1, ITIH2, ERP27, HSD17B6"
"26","DC1","XCR1, CLEC9A, WDFY4, RP11-761N21.1, C1orf54, CPVL, MPEG1, KIAA0226L, ZNF366, HLA-DOB"
"27","B cells","FCRL4, FCRL5, FCRLA, BLK, TNFRSF13C, AC079767.4, VPREB3, OSTN-AS1, BANK1, CXCR5"
"28","SMG mucous","BPIFB2, FAM177B, CST4, TFF2, CGREF1, DYRK4, HMGCS2, SEMA3E, SMAD9, NKX3-1"
"29","AT2 proliferating","AC079630.2, SFRP5, IRX6, CHIA, RP11-462G2.1, DIAPH3, LRP2, JPH1, KIAA1524, NECAB1"
"30","Pericytes","COX4I2, RP11-616M22.12, PDGFRB, HIGD1B, FOXS1, LAMC3, CARMN, TBX5, FAM162B, GUCY1A2"
"31","SMG duct","RP11-817J15.2, CSN3, RP11-817J15.3, FABP7, TCN1, CLDN8, LRRC26, MUC7, CCL28, AZGP1"
"32","Ionocyte","OLFM3, CDH22, CLDN25, ATP6V1G3, BSND, ASCL3, GPRC6A, ASCL4, FOXI2, FOXI1"
"33","Deuterosomal","FOXN4, RP11-713P17.5, MCIDAS, DYDC1, CCDC67, RP11-607P23.1, TMEM200C, CFAP47, CROCC2, PRR32"
"34","Tuft","GNG13, GNAT3, GUCA1A, OVOL3, SPIC, DAB1, KIT, LRMP, MUC20, RASSF6"
"35","Plasmacytoid DCs","SHD, CLEC4C, SCT, LILRA4, PTCRA, LAMP5, TCL1A, FAM129C, RP11-117D22.2, AC104024.1"
"36","T cells proliferating","CD3G, LCK, CD3D, CD3E, TRBC2, TRBC1, PHF19, TRAC, ITK, FOXP3"
"37","Subpleural fibroblasts","WT1, NGF, CADM3, MUM1L1, HPD, FLRT2, ROR1, FNDC4, C1QTNF1, GHR"
"38","Migratory DCs","AOC1, TIFAB, CCL22, TVP23A, CSF2RA, TRAF1, CST7, FSCN1, LRRK1, TNFRSF11A"
