"","Label","Markers"
"1","Megakaryocytes","LTBP1, ITGB3, ITGA2B, PF4, THBS1, PLEK, MED12L, PRKAR2B, RUNX1, ARHGAP6"
"2","Ganglion cells","ANK2, CADM2, KCNIP4, ROBO2, NRG3, CTNNA2, MDGA2, EPHA6, RALYL, EBF1"
"3","Stromal cells","COL1A1, COL3A1, COL1A2, DCN, COL6A2, COL5A1, COL5A2, IGF2, SPARC, VCAN"
"4","Adrenocortical cells","STAR, CYP17A1, SCARB1, DLK1, DHCR24, FDX1, CYP11A1, LDLR, RBM47, SH3BP5"
"5","Lymphatic endothelial cells","CCL21, TFPI, STAB2, PROX1, RELN, EFNA5, IGFBP7, CD36, MMRN1, LYVE1"
"6","Myeloid cells","CD74, SRGN, SAMHD1, CST3, AOAH, SLC9A9, CTSB, RBM47, LGMN, FTL"
"7","Bronchiolar and alveolar epithelial cells","ATP11A, CPM, MECOM, SFTPB, SFTPC, FGFR2, SFTA3, ETV5, ROS1, WIF1"
"8","Vascular endothelial cells","LDB2, FLT1, COL4A2, COL4A1, PTPRM, IGFBP7, HSPG2, TCF4, PTPRB, EPAS1"
"9","STC2_TLX1 positive cells","HBA2, HBA1, HBG2, HBG1, COL1A1, FBLN5, VCAM1, CXCL13, STC2, HBB"
"10","Satellite cells","CLCN5, OLFML2A, NEB, MATN2, MEGF10, FLNC, PAX7, FGFR4, CDH15, CALCR"
"11","Astrocytes","NPAS3, PTN, GRID2, LSAMP, GPM6A, SLC1A3, QKI, BAI3, CTNND2, PTPRZ1"
"12","Sympathoblasts","CHGA, CHGB, DPP6, FGF14, RGS5, AGBL4, CACNA2D3, DBH, SLC24A2, SLC18A1"
"13","Ureteric bud cells","MECOM, NAALADL2, PKHD1, INADL, PAX8, GATA3, COBLL1, BMPR1B, DCDC2, PAX2"
"14","Microglia","PLXDC2, SPP1, DOCK4, SFMBT2, FRMD4A, SLC9A9, ITPR2, DOCK8, APBB1IP, IPCEF1"
"15","Limbic system neurons","PTPRD, NTNG1, RNF220, CNTNAP2, NRXN1, TENM2, RIMS2, RBFOX1, ERC2, MEG3"
"16","Inhibitory interneurons","NRXN3, UNC5C, XKR4, NRXN1, NKAIN2, GRID2, CSMD1, ADARB2, ANKS1B, MSRA"
"17","Chromaffin cells","RBFOX1, RGS5, STMN2, CACNA2D3, CHGB, KCNQ5, ALCAM, BMPR1B, CHGA, DBH"
"18","Oligodendrocytes","LSAMP, CSMD1, LHFPL3, KCND2, PCDH15, CADM2, PTPRZ1, LRRC4C, OPCML, LRP1B"
"19","Endocardial cells","COL3A1, POSTN, VIM, CDH11, HSPG2, EMCN, FN1, CALCRL, ENG, HMCN1"
"20","Photoreceptor cells","CADM2, MARCH1, SYT1, EYS, RORB, FSTL5, GALNT13, MPPED2, CADPS, ZNF385B"
"21","Erythroblasts","HBG2, HBA1, HBA2, HBG1, SLC25A37, ANK1, TFRC, CD36, EPB41, SPTA1"
"22","ENS glia","SLC35F1, ZNF536, GFRA1, CDH19, PLP1, PRIMA1, COL20A1, SOX10, MPZ, INSC"
"23","Lymphoid cells","PTPRC, ARHGAP15, B2M, PABPC1, SKAP1, LCP1, HLA-B, FAM65B, ETS1, CD247"
"24","Skeletal muscle cells","TTN, MYH3, NEB, MYLPF, TPM2, MYL1, ACTC1, ACTA1, TNNC2, TNNT3"
"25","Mesothelial cells","AP000705.7, C3, SULF1, ALDH1A2, HHIP, MSLN, LINC00842, TFPI2, PTPRQ, SBSPON"
"26","SLC24A4_PEX5L positive cells","CNTNAP2, FSTL5, GRM7, LRRTM4, LUZP2, GRM3, CSMD3, NRXN3, CCSER1, FAM155A"
"27","Excitatory neurons","RBFOX1, PTPRD, ROBO2, LRRC7, NRXN1, DLGAP1, GPM6A, NKAIN2, SOX5, TMEM108"
"28","Retinal progenitors and Muller glia","RORB, LGR4, SORCS1, GALNT13, CLVS1, CRB1, ILDR2, FAM184B, ADAMTS18, RP11-89K21.1"
"29","SKOR2_NPSR1 positive cells","DAB1, GRID2, RORA, BAI3, FOXP2, AUTS2, DMD, NRG1, LPHN2, GRIK1"
"30","Hepatoblasts","ALB, AFP, APOA1, APOA2, SERPINA1, APOB, HBA1, AHSG, IGF2, HBG2"
"31","Thymocytes","LEF1, BCL11B, CALN1, TFDP2, ARHGAP15, THEMIS, SATB1, IKZF2, RUNX1, TCF7"
"32","Purkinje neurons","DAB1, GRID2, RORA, AUTS2, BAI3, NRG1, EBF1, GRIK1, FOXP2, LPHN2"
"33","Syncytiotrophoblasts and villous cytotrophoblasts","TENM3, FBN2, ARL15, EGFR, KANK1, ZFAT, SVEP1, RHOBTB1, RP11-30J20.1, MBNL3"
"34","Mesangial cells","GPC3, KIAA1217, PALLD, MEIS2, MEIS1, FLRT2, TNC, NR2F2, KIF26B, CCBE1"
"35","Smooth muscle cells","COL4A2, COL3A1, COL1A1, CALD1, NOTCH3, COL6A3, BGN, RGS5, PDGFRB, ITGA1"
"36","Intestinal epithelial cells","PCSK5, APOA1, C10orf112, RAB11FIP1, LGALS3, ARID3A, THRB, CPS1, MYH14, HNF4A"
"37","Granule neurons","ERBB4, GRIK2, RELN, NRG1, KCND2, CNTN5, NRXN1, SYT1, ROBO2, NELL2"
"38","Horizontal cells","NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B"
"39","Inhibitory neurons","NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG"
"40","Schwann cells","MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR"
"41","Islet endocrine cells","CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB"
"42","Amacrine cells","NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3"
"43","Unipolar brush cells","ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2"
