"","Label","OBO Ontology ID","Markers"
"1","Afferent / Efferent Arteriole Endothelial","[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096)","ADAMTS6,PTPRB,PECAM1,CDH13,CHRM3,VEGFC,CCDC3,AP002989.1,MEIS2,DOCK9"
"2","Ascending Thin Limb","[kidney loop of Henle thin ascending limb epithelial cell
](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107)","FOXP2,NEBL,ANK2,CACNA2D3,LINC02532,PTPN14,SH3GL3,PAX8,MIR99AHG,COL4A3"
"3","Ascending Vasa Recta Endothelial","[vasa recta ascending limb cell
](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131)","LDB2,EMCN,GPM6A,MEIS2,ST6GALNAC3,PTPRB,PBX1,PLAT,TEK,MIR99AHG"
"4","B","[mature B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)","ANKRD44,AFF3,PRKCB,BANK1,MARCH1,RALGPS2,ARHGAP15,INPP5D,RIPOR2,SEL1L3"
"5","Classical Dendritic","[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451)","WDFY4,CD83,HLA-DPB1,AC099560.1,FLT3,CCDC26,IDO1,RAB7B,AC016205.1,RUBCNL"
"6","Connecting Tubule","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","AC019197.1,SLC8A1,PDE4D,KCNIP4,CADPS2,COBLL1,GRIP1,PIK3C2G,MECOM,SCN2A"
"7","Connecting Tubule Intercalated Type A","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","DLK1,AC009019.1,IL13,OPN5,CLNK,PHKA2-AS1,SLC26A7,PACRG,SLC8A1,PDE1C"
"8","Connecting Tubule Principal","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","AC019197.1,PDE4D,KCNIP4,SLC8A1,CADPS2,GRIP1,RALYL,BMPR1B,TRPM3,TOX"
"9","Cortical Collecting Duct Intercalated Type A","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","CLNK,MAGI1,SLC26A7,ADGRF5,TMEM117,ITGA6,PDE1C,ABCC4,RCAN2,PTGER3"
"10","Cortical Collecting Duct Principal","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","PRKAG2,PAPPA,PDE4D,MECOM,TOX,ABTB2,GRIP1,PDE10A,KSR2,TRPM3"
"11","Cortical Thick Ascending Limb","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SLC12A1,UMOD,ERBB4,GPC5,PLCB1,CCSER1,CACNA2D3,ESRRG,PDE1A,EGF"
"12","Cortical Vascular Smooth Muscle / Pericyte","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","CACNA1C,NTRK3,MYH11,ZFHX3,SLIT3,GPC6,KCNAB1,HPSE2,DMD,RGS6"
