"","Label","OBO Ontology ID","Markers"
"1","Alveolar Epithelial Type 1","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","EMP2, AGER, GPRC5A, LMO7, RTKN2, ARHGEF26, LAMA3, DST, SPOCK2, SCEL"
"2","B","[type II pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002063)","MS4A1, BANK1, LINC00926, CD79A, BLK, CD79B, VPREB3, SP140, CD22, ADAM28"
"3","Basal","[artery](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001637)","KRT15, S100A2, KRT17, KRT5, KRT19, PERP, CLDN1, FHL2, DST, ITGA2"
"4","CD14+ Monocyte","[B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000236)","S100A9, S100A12, S100A8, VCAN, FCN1, CD300E, CTSS, CD99, CSF3R, METTL9"
"5","CD4 T","[basal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000646)","CD2, IL7R, TRAT1, BCL11B, ITK, CAMK4, CD6, LEF1, MALAT1, MAL"
"6","Ciliated","[capillary](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001982)","RSPH1, CAPS, FAM92B, CDHR3, CCDC170, SNTN, C20orf85, ZMYND10, DNAH6, FANK1"
"7","Dendritic","[CD14-positive, CD16-negative classical monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002057)","HLA-DPB1, FCGR2B, HLA-DMB, CLEC10A, CSF2RA, MS4A6A, HLA-DQA1, RGS1, GPR183, FPR3"
"8","Fibroblast","[CD14-low, CD16-positive monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002396)","FBLN1, ADH1B, DCN, LUM, C1S, C1R, SLIT2, C3, CFD, ABLIM1"
"9","Lymphatic","[CD4-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000624)","CCL21, MMRN1, PROX1, PPFIBP1, TFF3, TBX1, PKHD1L1, IGFBP7, TFPI, TIMP3"
"10","Macrophage","[CD8-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000625)","ACP5, C1QA, C1QB, VSIG4, MARCO, OLR1, APOC1, SLCO2B1, GPD1, ITGAX"
"11","Natural Killer","[ciliated cell](http://purl.obolibrary.org/obo/CL_0000064)","PRF1, NKG7, KLRF1, CD247, GNLY, PYHIN1, KLRD1, SPON2, FCGR3A, GZMB"
"12","Plasma","[club cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000158)","MZB1, DERL3, SEC11C, XBP1, TNFRSF17, SSR4, POU2AF1, HSP90B1, PRDX4, MANF"
"13","Alveolar Epithelial Type 2","[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451)","SFTPA1, SFTPA2, NAPSA, SFTPB, SFTPD, SFTPC, SLC34A2, ABCA3, LAMP3, LPCAT1"
"14","Basophil/Mast","[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057)","KIT, CPA3, TPSAB1, HPGDS, VWA5A, MS4A2, HDC, CD44, GATA2, GRAP2"
"15","CD16+ Monocyte","[lymphatic vessel](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001473)","LST1, LILRB2, AIF1, COTL1, SAT1, FCN1, FCGR3A, RPS19, RHOC, IFITM2"
"16","Capillary","[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235)","FCN3, EPAS1, RAMP3, CDH5, PODXL, BTNL9, NOSTRIN, FLNB, CDC42EP1, CD81"
"17","CD8 T","[mesothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000077)","CCL5, CD3D, NKG7, GZMH, CD3G, CD8A, GZMA, CD8B, RPS27, RPL34"
"18","Club","[natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000623)","SCGB3A2, CYB5A, SFTPB, PIGR, C16orf89, CTSE, KIAA1324, CEACAM6, WFDC2, DSTN"
"19","Myofibroblast","[plasma cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000786)","COL1A1, COL1A2, COL3A1, COL6A3, ASPN, LTBP1, ITGBL1, CALD1, POSTN, BGN"
"20","Plasmacytoid Dendritic","[lymphocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000542)","PPP1R14B, IRF4, GZMB, IL3RA, IRF7, PLD4, SEC61B, PTPRE, NPC2, TYROBP"
"21","Proliferating Macrophage","[smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000192)","H2AFZ, CDK1, UBE2C, ANLN, BIRC5, NUSAP1, STMN1, TPX2, TYMS, KPNA2"
"22","Proliferating NK/T","[vein](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001638)","NUSAP1, TOP2A, HMGB2, BIRC5, H2AFV, SMC4, CENPF, AURKB, UBE2C, KIF2C"
"23","Bronchial Vessel","[myeloid leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000766)","PLVAP, ZNF385D, SPRY1, POSTN, SPARCL1, VWF, EMCN, COL15A1, INHBB, ENPP2"
"24","Mucous","[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235)","SCGB3A1, BPIFB1, SLPI, LCN2, WFDC2, SAA1, SCGB1A1, RARRES1, MUC5B, MSMB"
"25","Vein","[capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002144)","VWF, SELP, SLCO2A1, LIFR, PLA1A, PTPRB, PRSS23, CPE, TGM2, SRPX"
"26","Pericyte","[mucus secreting cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000319)","COX4I2, PDGFRB, TACC1, CALD1, NID1, COL4A1, COL4A2, LAMB1, LAMC3, CHN1"
"27","Smooth Muscle","[myofibroblast cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000186)","TPM2, ACTA2, MYL9, MYH11, CALD1, DSTN, CNN1, DES, PLN, CSRP1"
"28","Artery","[mature NK T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000814)","DKK2, PTPRB, EFNB2, EPAS1, GJA5, HEY1, ARGLU1, FBLN5, SEMA3G, BMX"
"29","Capillary Aerocyte","[pericyte cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000669)","HPGD, APP, EDNRB, EMCN, ESAM, STXBP6, CLDN5, CYP3A5, SOSTDC1, TBX2"
"30","Capillary Intermediate","[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784)","EPAS1, SH3BP5, RALA, PECAM1, WWTR1, GALNT18, ACVRL1, SRSF11, VAT1, IPO7"
