"","Label","Markers"
"1","Adipocyte","Ucp1, Cidea, Adipoq, Cidec, Lgals12, Plin1, Plin4, Pck1, Lncbate1, Fabp4"
"2","B ","Cd27, Gm30948, Cd19, Igll1, Pou2af1, Slamf6, Slamf7, Siglecg, Ifi209, Vpreb1"
"3","Cardiomyocyte","Tbx5, Hcn4, Gata4, Mybpc3, Nkx2-5, Ankrd1, Myh6, Unc45b, Hspb7, Myocd"
"4","CNS Neuron","Isl1, Slc17a6, Slc32a1, Gad1, Neurod1, Glra1, Mir124a-1hg, Dll3, Prmt8, Mir124-2hg"
"5","Definitive Erythroid","Snca, Hbb-bs, Abcb4, Slc4a1, Kel, Tspo2, 6030468B19Rik, Cldn13, Redrum, F930017D23Rik"
"6","Endothelium","Kdr, Pecam1, Cdh5, Ushbp1, She, Nos3, Gm20532, Robo4, Mmrn2, Ecscr"
"7","Ependymal ","Foxj1, Tm4sf1, Tmem212, Gm29538, Cfap65, Spata18, Mcidas, Cfap95, Dynlrb2, Zbbx"
"8","Epithelial ","Tfap2b, Egfr, Krt5, Krt14, Trp63, Grhl2, Lypd6b, Esrp1, Epcam, Cdh3"
"9","Eye and Other","Neurog2, Atoh7, Otx2, Vsx2, Pax6, Pyy, Gm29266, Dach1, Fgf15, Rorb"
"10","Hepatocyte","A1cf, Afp, Alb, Apoa2, Gulo, Itih1, Ftcd, Habp2, Serpina10, C8a"
"11","Intermediate Neuronal Progenitor","Pax6, Tbr1, Eomes, Neurod2, Neurod6, 3110039M20Rik, Sez6, Slc17a6, Mir124a-1hg, Lhx2"
"12","Intestine","Gata4, Onecut2, Nr5a2, Isx, B4galnt2, Slc17a4, Slc7a9, Vil1, Apoa4, Spink1"
"13","Lung and Airway","Foxp2, Mki67, Etv5, Cxcl15, Nkx2-1, Rbpjl, Cldn18, Lamp3, Myo5c, Tinag"
"14","Mast ","Ptprc, Kit, Cd200r3, Tpsab1, Mrgprb2, Grm6, Adora3, Gcsam, Ms4a2, F830045P16Rik"
"15","Megakaryocyte","Pf4, Itgb3, Itga2b, Ly6g6f, Tubb1, Treml1, Gp1ba, Gp6, Gp5, F2rl2"
"16","Mesoderm","Pax3, Pax7, Pax1, Pax9, Tbx6, Prrx1, Pdgfra, Ddr2, Mrc2, Bnc2"
"17","Muscle ","Pax3, Myf5, Pax7, Lincmd1, Mymk, Myog, Cdh15, Mylk4, Mybph, Musk"
"18","Neural Crest PNS Glia","Dlx2, Foxd3, Pax3, Cdh19, Sox10, Mpz, Erbb3, Tfap2a, Cdh6, Stard13"
"19","Neural Crest PNS Neuron","Syt13, Shox2, Ptprr, Pcbp3, Ntrk1, Ppp1r1c, Scn10a, Pou4f1, Isl1, Clvs1"
"20","Neuroectoderm and Glia","Otx2, Pax6, Pax2, Pax5, Rfx4, Rgma, Sema5b, Ildr2, Pantr1, Grm3"
"21","Olfactory Sensory Neuron","Fstl5, Dscaml1, Lhx2, Gfy, Mslnl, Trim66, Tmprss6, Ano2, D930020B18Rik, Ccdc187"
"22","Oligodendrocyte","Cspg4, Pdgfra, Olig1, Bcan, Gm3764, Lhfpl3, Mir9-3hg, Brinp3, Ptprz1, Kcnd2"
"23","Primitive Erythroid","Hba-a1, Hbb-bh1, Hsd3b6, Epb42, Hbb-y, Hba-x, Acp5, Ermap, Spta1, Kel"
"24","T ","Cd4, Cd8a, Klrb1b, Cd3e, Cd3g, Gzma, Scart1, Il2ra, Cd27, Cd96"
"25","Testis and Adrenal","Cyp17a1, Cyp11b1, Nr5a1, Cyp21a1, Akr1cl, Akr1b7, Hsd3b1, Mc2r, Cyp11a1, Efhd1"
"26","White Blood","Ms4a4a, Apoe, Lyz2, Selenop, Ptprc, Ly86, Cd34, Fcrls, C3ar1, C1qc"
