"","Label","Markers"
"1","Activated T","Cd69, Sh2d2a, Cd6, Cd5, Pdcd1lg2, Cd4, Cd3e, Cd27, Cd96, Cd28"
"2","Adipocyte (Cyp2e1+)","Cyp2e1, Auts2, Plcb1, Gm48832, Cfd, Adipoq, A530016L24Rik, Plin1, Cidec, Retn"
"3","Adipocyte Progenitor","Mki67, Adipoq, Plin1, Cidec, Lgals12, Slc36a2, Fabp4, Cidea, Ankef1, Aoc3"
"4","Adipose Tissue Macrophage","Cd9, Itgax, Trem2, Siglec1, Adipor2, Sh2d1b1, Sirpb1c, Pilra, Bcl2a1b, Ccl6"
"5","Adrenocortical","Cyp11b1, Cyp21a1, Nr5a1, Akr1b7, Akr1cl, Hsd3b1, Mc2r, Cyp11a1, Efhd1, Hao2"
"6","Airway Club","Sftpd, Scgb3a2, Sec14l3, Scgb1a1, Cckar, Cyp2f2, AU021092, Cbr2, Sftpb, Ces1d"
"7","Airway Goblet","Muc5ac, Reg3g, Lypd2, Muc5b, Scgb3a2, Scgb3a1, Chad, Adam28, Acsm1, Cbr2"
"8","Airway Smooth Muscle","Adgrg6, Fam162b, Tbx5, Gm13470, Trpc6, Carmn, Rasl12, Tbx4, Gucy1a1, Abcc9"
"9","Allantois","Hoxa11, Tbx4, Wnt2, Tbx20, Pitx1, Hdnr, Prdm6, Gata6, Pitx2, Twist2"
"10","Alveolar Type 1","Hopx, Pdpn, Ager, Sec14l3, Scnn1g, Cldn18, Aqp5, Gm32200, Slc34a2, Msln"
"11","Alveolar Type 2","Sftpc, Or2aj6, Lamp3, Sftpa1, Gm39094, Cxcl15, Lyz1, Sftpd, Slc34a2, Pla2g4f"
"12","Amacrine","Gad1, Bhlhe22, Nr4a2, Cngb3, Cacng3, Syt6, Gad2, Iqsec3, Pax6, Slc6a1"
"13","Amacrine/Horizontal Precursor","Ptf1a, Tfap2b, Prdm13, Mir217hg, Krt73, Pax6, Kctd8, Onecut2, Rorb, Nyap2"
"14","Amniotic Ectoderm","Lrp2, Krt7, Tac2, Lrrn4, Wnt6, Gabrp, Tacstd2, Il17re, Gjb3, Syt8"
"15","Amniotic Mesoderm","Postn, Hand1, Tbx20, Pitx2, Prss35, Lum, Col1a1, Ccn4, Col3a1, Cpz"
"16","Anterior Floor Plate","Foxa2, Bmp7, 2610027F03Rik, Shh, 9030622O22Rik, Ttc6, Rfx4, Lmx1a, Lrtm1, Lmx1b"
"17","Anterior Intermediate Mesoderm","Pax2, Sim1, Igsf5, Crlf1, Lhx1, 2700089I24Rik, Lhx1os, Hoxd3, Gata3, Pax8"
"18","Anterior Roof Plate","Otx2, Wnt1, Wnt3a, Gmnc, Lmx1a, Gm5089, Msx1, Zic5, Zic2, Rspo1"
"19","Apical Ectodermal Ridge","Msx2, Rspo2, Vwde, Mir205hg, Trp63, Sptlc3, Fgf8, Srms, Sp6, Ptk6"
"20","Arterial Endothelial","Tmem100, Vwf, Efnb2, Cd44, Gja4, Sema3g, Gja5, Sox17, Tie1, Mmrn2"
"21","Ascending Loop Of Henle","Cldn19, Umod, Kcnj1, Slc12a1, Clcnkb, Slc9a3, Fxyd2, Tmem72, Cdh16, Pde4c"
"22","Astrocyte","Pla2g7, Timp4, Egfr, Hepacam, Bcan, Slc6a11, Fabp7, Fgfbp3, BC024139, Aldh1l1"
"23","Atrial Cardiomyocyte","Nppa, Myl4, Tnnt2, Mybphl, Myh6, Mybpc3, Ankrd1, Fsd2, Myl7, Tnni3k"
"24","B","Cd27, Gm30948, Cd19, BC035044, Il7r, Flt3, Blk, Rasal3, Arl5c, Rag1"
"25","B Cell Progenitor","Cd19, Igll1, Pou2af1, Gm30948, Cd79a, Slamf7, Vpreb1, Slamf6, Rag1, Siglecg"
