"","Label","Markers"
"1","Activated Naive B","MIR155HG, SLAMF1, MYC, CD83, HSP90AB1, DDX21, EGR3, FCER2, REL, SYNGR2"
"2","CD4 T","CHGB, KSR2, IL21, GNG4, CD40LG, ICOS, CTLA4, PDCD1, DRAIC, ICA1"
"3","CD8 T","GZMH, CXCR6, TRGC2, ITGA1, KLRG1, MIAT, CD8A, CCL5, PPP2R2B, GPR171"
"4","Cycling B","E2F8, CDCA2, NUGGC, CLSPN, ANLN, MYBL1, FAM111B, KIF4A, NUF2, GTSE1"
"5","Cycling follicular dendritic","S100A1, ERH, NPM1, C1QBP, MIF, CXCL14, PRMT1, RPLP0, YBX1, POLR2I"
"6","Cycling myeloid","CIT, KPNA2, CSF1R, POLQ, CKAP2L, KIF14, AURKA, MMP9, KIF15, AURKB"
"7","Cycling T","IL21, CTLA4, CORO1B, MAF, KIF15, SMC3, RRM2, PDCD1, SPOCK2, ICOS"
"8","Dendritic","CLEC9A, ZNF366, CLEC10A, ST18, RTN1, LAD1, AC090559.1, CPVL, CCDC26, SHTN1"
"9","Double negative T","FGFBP2, PTPN3, LAYN, FASLG, IL19, CAV1, MIR4422HG, DTHD1, PRDM8, CD5"
"10","Epithelial","IL36A, C5orf66-AS1, MAB21L4, RNF39, FUT3, SPRR1A, C1orf116, KLK11, RNASE7, PADI1"
"11","Follicular dendritic","AL139379.1, NR2F1, NR2F2-AS1, OSMR-AS1, SERPINA3, LINC02251, TCIM, GABRG3, CACNA2D1, DZIP1"
"12","Germinal center B","SERPINA9, SUGCT, LOXL2, MEF2B, ELL3, CD40, SYBU, DNAJC10, SUSD3, AC012368.1"
"13","Granulocytes","ADGRG3, FCGR3B, MCEMP1, ORM1, CXCL2, PI3, AQP9, SLC11A1, CXCL8, G0S2"
"14","Innate lymphoid","KRT81, KRT86, SLC4A10, SH2D1B, RORC, IL23R, LIF, TNFSF11, NCR1, XCL1"
"15","Mast","TAL1, AL157895.1, TPSD1, ADCYAP1, IL1RL1, CDK15, HDC, GCSAML, MLPH, CALB2"
"16","Memory B","FCRL4, TNFRSF13B, BHLHE41, CLECL1, FCGR2B, SP110, SP140, CCR6, TLR10, FCRL2"
"17","Monocyte/macrophage","AC104809.2, CD163, SULT1C2, VCAN, FPR3, CD163L1, TCN2, STAB1, VNN1, RTN1"
"18","Naive B","ABCB4, HVCN1, LINC00926, LINC02397, SP100, VAV3-AS1, COL19A1, RABEP2, FCER2, IGHD"
"19","Naive CD4 T","CHRM3-AS2, TOMM7, RPL30, ITGA6, LDHB, NOSIP, RPS25, RPS14, RPS15A, RPL11"
"20","Naive CD8 T","LINC02446, CD8B, LRRN3, LDLRAP1, CD8A, CCR7, NELL2, PRKCQ-AS1, RCAN3, RPS12"
"21","Natural killer","KIR2DL4, SPTSSB, SH2D1B, ZMAT4, KLRC1, KLRC2, KLRC3, NCR1, NCAM1, XCL2"
"22","Plasma","IGKV1-6, IGHV3-21, IGKV1-39, IGLV3-27, IGLV3-19, IGLV4-69, IGKV3-15, IGHV1-18, IGHV4-34, IGLV2-23"
"23","Plasmacytoid dendritic","AC097375.1, CYYR1, C5orf64, KCNK17, KCNK10, LCNL1, LINC01478, ADGRB3, RASD1, LINC02207"
"24","preB/T","RAG2, SPTA1, ARPP21, VPREB1, RAG1, HRK, IGLL1, MME, ACSM3, AEBP1"
