"","Label","Markers"
"1","aDC","LAMP3, CCR7, FSCN1, SLCO5A1, DUSP5, PRDM16, CCL19, TREML1, SYNPO2, CCL22"
"2","B activated","FCER2, IGHD, CD83, NFKB2, CD72, CD69, MYC, EGR3, REL, HLA-DQB1"
"3","B memory","CD27, BANK1, MARCH1, CD24, TCF4, TNFRSF13B, BLK, CCR6, TLR10, TBC1D9"
"4","B naive","IGHD, IGHM, BANK1, FCER2, TCL1A, CD79B, MEF2C, MS4A1, CD79A, CD22"
"5","CD4 naive","CD3D, CD3E, CD3G, CD2, IL7R, TCF7, CCR7, LEF1, NOSIP, GIMAP7"
"6","CD4 Non-TFH","CD3D, CD3E, CD3G, MAF, IL7R, RORA, IL17A, CCR4, GATA3, PRDM1"
"7","CD4 TCM","CD3D, CD3G, TCF7, IL7R, ANK3, S100A4, PASK, IL6ST, FYB1, ANXA1"
"8","CD4 TFH","CD3D, CD3E, CD2, TIGIT, IL6ST, PDCD1, TOX2, ICOS, CXCR5, CXCL13"
"9","CD4 TFH Mem","CD3D, CD3E, KLRB1, IL32, MAF, TOX2, ICOS, TNFRSF1B, IKZF3, CEP128"
"10","CD4 TREG","CD3D, CD3E, CD2, CYTOR, IL10, FOXP3, CTLA4, IL2RA, RGS1, TNFRSF4"
"11","CD8 naive","CD8B, CD8A, CD3D, CD3E, IL7R, CCR7, LEF1, TCF7, SELL, NOSIP"
"12","CD8 T","CD8A, CD8B, CD3G, CD3E, CCL5, GZMK, NKG7, KLRG1, PRF1, KLRK1"
"13","CD8 TCM","CD8A, CD8B, CD3D, CD3E, IL7R, ANXA1, S100A4, FYB1, S100A6, GIMAP7"
"14","Cycling DZ GCB","AICDA, MME, RGS13, MEF2B, STMN1, MKI67, PCLAF, NUSAP1, TOP2A, HMGB2"
"15","Cycling FDC","FDCSP, CLU, CXCL13, CSTA, IGFBP7, TOP2A, MKI67, PCLAF, PCNA, HMGB1"
"16","Cycling myeloid","LYZ, CST3, LGALS2, MS4A6A, TYROBP, S100B, TOP2A, MKI67, PCLAF, PCNA"
"17","Cycling T","CD3D, CD3E, CD3G, CD2, TOP2A, MKI67, PCLAF, LCK, CD28, HMGB2"
"18","DC","LYZ, CST3, LGALS2, CPVL, FGL2, AIF1, LST1, SAMHD1, GSN, FCER1G"
"19","dnT","CD3G, CD3D, CD3E, HAVCR2, GPR183, CD28, TCF7, BCL11B, GZMK, NUCB2"
"20","DZ GCB","SUGCT, MEF2B, NEIL1, SEC14L1, AICDA, BCL7A, MME, BACH2, TCL1A, CD38"
"21","DZtoLZ GCB transition","MEF2B, RGS13, SERPINA9, LMO2, HMCES, KLHL6, LRMP, FGD6, MARCKSL1, NEIL1"
"22","Epithelial","SPINK5, KRT19, SPRR3, KRT13, KRT18, SPRR1B, S100A9, CSTA, S100A8, LCE3D"
"23","FCRL4/5+ B memory","FCRL4, FCRL5, ITGAX, ITGB2, TNFRSF13B, BHLHE41, IFI30, ACP5, PTPN1, BANK1"
"24","FDC","CLU, FDCSP, PTGDS, CXCL13, CR2, MARCKS, MAP1LC3A, IGFBP7, COL27A1, VCAM1"
"25","Granulocytes","SOD2, NAMPT, CXCL8, S100A9, G0S2, S100A8, TYROBP, SLPI, MXD1, CXCR2"
"26","ILC","IL7R, FCER1G, TRDC, TNFRSF18, GNLY, AHR, CD200R1, ANXA1, RORC, IL23R"
"27","LZ GCB","LMO2, RGS13, MEF2B, BCL2A1, SERPINA9, GMDS, FGD6, RFTN1, PLEK, LRMP"
"28","LZtoDZ GCB transition","BATF3, MYCBP, NME1, FABP5, PCLAF, MCM7, EBI3, PAICS, PCNA, LMO2"
"29","MAIT/TRDV2+ gdT","KLRB1, TRDC, TRGC2, TRGC1, IL18RAP, CEBPD, ZBTB16, RORA, CXCR6, NKG7"
"30","Mast","CPA3, TPSB2, TPSAB1, MS4A2, FCER1G, TYROBP, HPGD, KIT, HPGDS, RAB32"
"31","Mono/Macro","LYZ, CST3, TYROBP, AIF1, FCER1G, CD68, IL18, TMEM176B, LGALS1, VCAN"
"32","NK","KLRF1, KLRD1, KLRK1, NKG7, GNLY, FCGR3A, PRF1, CCL5, CX3CR1, GZMA"
"33","NK_CD56bright","GNLY, KLRF1, KLRD1, NKG7, NCAM1, TYROBP, CTSW, XCL1, EOMES, AREG"
"34","non-TRDV2+ gdT","TRDC, TRGC1, TRGC2, CCL5, KLRK1, CD7, NKG7, KLRD1, CTSW, CST7"
"35","PB","XBP1, MZB1, FKBP11, SDF2L1, TXNDC5, DERL3, CENPA, PCLAF, JCHAIN, MANF"
"36","PC","DERL3, FKBP11, XBP1, MZB1, PRDX4, TXNDC5, SEC11C, IRF4, SSR3, PRDM1"
"37","PC/doublet","MZB1, DERL3, XBP1, FKBP11, PRDX4, TXNDC5, LINC02362, SDC1, SSR4, IGHGP"
"38","PDC","LILRA4, IL3RA, IRF8, CST3, FCER1G, SERPINF1, ITM2C, IRF7, SMPD3, PLD4"
"39","preB/T","IGLL1, ACSM3, MYB, VPREB1, ARPP21, RAG1, AKAP12, DNTT, BMP3, CD1B"
"40","preGCB","PRDX1, YBX1, NME2, HSP90AB1, MIF, NPM1, EIF4A1, FABP5, LMO2, BASP1"
"41","preMBC/doublet","MEF2B, RGS13, BASP1, LRMP, TCL1A, MARCKSL1, SWAP70, CD22, TNFRSF13C, RFTN1"
"42","prePB","RGS13, MEF2B, RASSF6, HMCES, CCDC88A, XBP1, VDR, PRDM1, FAM3C, CCDC144A"
